customer_id,purchase_date,transaction_id,product_category,amount
C001,2025-10-15,T001,Electronics,1200
C001,2025-11-20,T045,Accessories,89
C001,2025-12-05,T089,Electronics,450
C002,2025-08-10,T002,Accessories,75
C002,2025-09-15,T034,Home,250
C002,2025-11-01,T067,Electronics,1200
C002,2025-12-20,T123,Accessories,45
C003,2025-01-20,T004,Electronics,2400
C003,2025-06-15,T028,Electronics,350
C004,2025-11-05,T005,Accessories,178
C004,2025-12-15,T112,Accessories,25
C005,2025-10-22,T006,Electronics,350
C005,2025-12-01,T078,Home,450
C006,2025-07-20,T007,Accessories,100
C006,2025-09-10,T041,Home,250
C006,2025-11-25,T095,Electronics,65
C007,2025-12-10,T008,Electronics,130
C008,2025-10-01,T009,Electronics,1200
C008,2025-11-15,T056,Accessories,12
C008,2025-12-18,T130,Electronics,350
C009,2025-06-05,T010,Electronics,360
C009,2025-08-20,T031,Accessories,89
C009,2025-10-10,T055,Home,35
C010,2025-12-01,T011,Accessories,120
C011,2025-09-25,T012,Accessories,89
C011,2025-11-10,T063,Electronics,1200
C012,2025-07-15,T013,Electronics,700
C012,2025-10-30,T072,Home,250
C013,2025-11-20,T014,Home,140
C013,2025-12-10,T115,Home,35
C014,2025-08-05,T015,Electronics,1200
C014,2025-10-20,T048,Accessories,25
C014,2025-12-15,T125,Electronics,450
C015,2025-12-05,T016,Accessories,50
C016,2025-05-10,T017,Home,250
C016,2025-09-15,T040,Home,450
C016,2025-11-28,T099,Electronics,1200
C017,2025-11-25,T018,Electronics,65
C018,2025-10-20,T019,Home,450
C019,2025-08-30,T020,Accessories,267
C019,2025-11-05,T060,Electronics,350
C020,2025-07-25,T021,Electronics,2400
C020,2025-10-15,T051,Accessories,150
C021,2025-12-08,T022,Electronics,240
C022,2025-09-20,T023,Electronics,350
C023,2025-08-15,T024,Accessories,96
C023,2025-11-30,T101,Home,250
C024,2025-10-10,T025,Electronics,450
C024,2025-12-12,T118,Accessories,20
C025,2025-12-01,T026,Accessories,125
C026,2025-06-20,T027,Electronics,1200
C026,2025-09-25,T044,Accessories,45
C026,2025-11-15,T070,Electronics,350
C027,2025-11-10,T028,Home,70
C027,2025-12-18,T132,Home,140
C028,2025-10-05,T029,Accessories,240
C029,2025-12-10,T030,Accessories,89
C030,2025-08-01,T031,Electronics,1200
C030,2025-10-25,T053,Home,35
C031,2025-11-28,T032,Accessories,80
C032,2025-09-10,T033,Electronics,700
C033,2025-12-05,T034,Electronics,120
C034,2025-10-15,T035,Electronics,330
C035,2025-11-20,T036,Accessories,75
C036,2025-07-30,T037,Electronics,2400
C036,2025-10-10,T050,Accessories,12
C037,2025-12-12,T038,Accessories,90
C038,2025-09-05,T039,Accessories,144
C038,2025-11-25,T097,Electronics,1200
C039,2025-10-28,T040,Electronics,350
C040,2025-08-20,T041,Electronics,1200
C041,2025-11-15,T042,Accessories,150
C042,2025-10-05,T043,Electronics,240
C042,2025-12-01,T108,Electronics,65
C043,2025-09-28,T044,Accessories,100
C044,2025-07-15,T045,Electronics,1200
C044,2025-10-30,T073,Home,250
C045,2025-11-25,T046,Electronics,200
C046,2025-08-25,T047,Electronics,700
C046,2025-11-10,T065,Accessories,89
C047,2025-10-20,T048,Accessories,72
C048,2025-06-10,T049,Electronics,2400
C048,2025-09-15,T042,Accessories,150
C048,2025-12-05,T114,Electronics,350
C049,2025-11-28,T050,Accessories,120
C050,2025-10-10,T051,Accessories,45
C050,2025-12-15,T127,Home,250
