customer_id,cohort_month,months_active,total_revenue,num_transactions,avg_order_value,churned
C001,2024-01,24,2400,12,200,0
C002,2024-01,18,1800,9,200,0
C003,2024-01,12,1200,6,200,0
C004,2024-01,6,600,3,200,0
C005,2024-02,22,2200,11,200,0
C006,2024-02,16,1600,8,200,0
C007,2024-02,10,1000,5,200,0
C008,2024-02,4,400,2,200,1
C009,2024-03,20,2000,10,200,0
C010,2024-03,14,1400,7,200,0
C011,2024-03,8,800,4,200,0
C012,2024-03,2,200,1,200,1
C013,2024-04,18,1800,9,200,0
C014,2024-04,12,1200,6,200,0
C015,2024-04,6,600,3,200,1
C016,2024-05,16,1600,8,200,0
C017,2024-05,10,1000,5,200,0
C018,2024-05,4,400,2,200,1
C019,2024-06,14,1400,7,200,0
C020,2024-06,8,800,4,200,0
C021,2024-06,2,200,1,200,1
C022,2024-07,12,1200,6,200,0
C023,2024-07,6,600,3,200,1
C024,2024-08,10,1000,5,200,0
C025,2024-08,4,400,2,200,1
C026,2024-09,8,800,4,200,0
C027,2024-09,2,200,1,200,1
C028,2024-10,6,600,3,200,1
C029,2024-11,4,400,2,200,1
C030,2024-12,2,200,1,200,1
C031,2024-01,24,4800,12,400,0
C032,2024-01,18,3600,9,400,0
C033,2024-01,12,2400,6,400,0
C034,2024-01,6,1200,3,400,0
C035,2024-02,22,4400,11,400,0
C036,2024-02,16,3200,8,400,0
C037,2024-02,10,2000,5,400,0
C038,2024-02,4,800,2,400,1
C039,2024-03,20,4000,10,400,0
C040,2024-03,14,2800,7,400,0
C041,2024-03,8,1600,4,400,0
C042,2024-03,2,400,1,400,1
C043,2024-04,18,3600,9,400,0
C044,2024-04,12,2400,6,400,0
C045,2024-04,6,1200,3,400,1
C046,2024-05,16,3200,8,400,0
C047,2024-05,10,2000,5,400,0
C048,2024-05,4,800,2,400,1
C049,2024-06,14,2800,7,400,0
C050,2024-06,8,1600,4,400,0
