week,tv_spend,radio_spend,social_spend,search_spend,display_spend,email_spend,total_spend,sales
1,15000,5000,3000,8000,2000,1000,34000,125000
2,18000,5500,3200,8500,2200,1100,38500,142000
3,12000,4500,2800,7500,1800,900,30500,108000
4,22000,6000,3500,9000,2500,1200,44200,168000
5,16000,5200,3100,8200,2100,1050,35650,131000
6,14000,4800,2900,7800,1900,950,32350,116000
7,20000,5800,3400,8800,2400,1150,41550,155000
8,17000,5400,3200,8400,2200,1080,37280,138000
9,13000,4600,2850,7600,1850,920,30820,112000
10,25000,6500,3800,9500,2700,1300,48800,182000
11,19000,5600,3300,8600,2300,1120,37920,148000
12,15500,5000,3000,8000,2000,1000,33500,124000
13,11500,4400,2700,7300,1750,880,28530,102000
14,21000,5900,3450,8900,2450,1180,41880,162000
15,17500,5300,3150,8300,2150,1060,36460,136000
16,14500,4900,2950,7700,1950,970,31970,118000
16,14500,4900,2950,7700,1950,970,31970,118000
17,19500,5700,3350,8700,2350,1140,37740,150000
18,16500,5100,3050,8100,2050,1020,34820,128000
19,12500,4550,2800,7450,1800,910,30010,108000
20,23500,6200,3650,9200,2600,1250,47400,176000
21,18000,5500,3200,8500,2200,1100,38500,144000
22,15000,5000,3000,7900,1950,980,31830,116000
23,11000,4300,2650,7200,1700,850,27700,98000
24,20500,5850,3400,8800,2400,1160,41110,158000
25,17000,5300,3100,8300,2100,1050,35850,132000
26,16000,5100,3000,8100,2000,1010,34210,126000
27,14000,4700,2850,7600,1850,940,30940,112000
28,22000,6000,3500,9000,2500,1200,44200,168000
29,18500,5600,3250,8600,2250,1110,37310,145000
30,15500,4950,2950,7950,1980,990,32320,120000
31,13000,4550,2750,7400,1780,900,29380,106000
32,20000,5800,3400,8800,2350,1140,41490,156000
33,17500,5350,3150,8350,2120,1060,36530,136000
34,14500,4800,2850,7700,1900,950,31700,116000
35,16500,5200,3050,8200,2050,1030,36030,134000
36,12000,4450,2700,7300,1750,890,29090,104000
37,19500,5650,3300,8650,2300,1120,37520,148000
38,17000,5250,3100,8250,2080,1040,35720,130000
39,15000,4900,2900,7850,1920,970,32540,118000
40,24000,6300,3700,9300,2650,1280,48230,180000
41,18500,5550,3200,8550,2220,1100,38120,144000
42,16000,5050,3000,8050,2020,1010,34130,126000
43,13500,4600,2800,7500,1820,920,30140,110000
44,21500,5950,3450,8900,2420,1170,43390,164000
45,18000,5400,3150,8450,2150,1080,37230,140000
46,15500,4950,2950,7950,1980,990,32320,120000
47,12500,4500,2700,7350,1750,890,28690,104000
48,23000,6150,3600,9150,2550,1240,46690,174000
49,19000,5600,3250,8600,2280,1120,37850,146000
50,16500,5150,3050,8150,2030,1020,34900,128000
51,14500,4800,2850,7700,1900,950,31700,116000
52,20500,5800,3400,8800,2350,1140,41490,156000
